,Weapon,count,countp
0,Splash-o-matic,119146,0.08619277735980091
1,Custom Splattershot Jr.,91650,0.06630157995254354
2,Splattershot Jr.,60153,0.04351597314659413
3,Tentatek Splattershot,57818,0.04182678395740494
4,E-liter 4K,55074,0.03984171537704728
5,Splattershot,53517,0.038715348110423056
6,.52 Gal,48351,0.034978152670872155
7,Sloshing Machine,46822,0.03387204120608832
8,Aerospray RG,46312,0.033503096243995605
9,Bloblobber,38096,0.027559465246831415
10,Forge Splattershot Pro,37429,0.02707694311013369
11,Dualie Squelchers,33515,0.024245471381445685
12,Splat Roller,32641,0.023613200995427977
13,Hydra Splatling,30315,0.02193052259968748
14,Heavy Splatling,28375,0.020527084900746572
15,Flingza Roller,28007,0.02026086579084438
16,Tri-Stringer,27934,0.02020805602176052
17,Inkbrush,25769,0.018641848486602233
18,Range Blaster,25498,0.018445801261647087
19,Dapple Dualies Nouveau,24358,0.017621100758145727
20,Splatana Stamper,23936,0.017315816887551364
21,Sploosh-o-matic,23207,0.016788442618207073
22,Carbon Roller Deco,23084,0.01669946177440824
23,N-ZAP '85,22301,0.01613302274437178
24,Explosher,19453,0.01407271832860698
25,Splatana Wiper,19440,0.014063313849181087
26,Dark Tetra Dualies,19079,0.01380215868973899
27,Hero Shot Replica,18369,0.013288529428786389
28,Classic Squiffer,15281,0.011054603854389722
29,Splat Dualies,14023,0.010144539614561028
30,Clash Blaster,13629,0.009859511545807048
31,Octobrush,13370,0.009672145378783494
32,Tri-Slosher,12827,0.0092793275073789
33,E-liter 4K Scope,12274,0.00887927542103131
34,Splat Charger,12224,0.008843104346316338
35,Glooga Dualies,11830,0.00855807627756236
36,Squeezer,11191,0.008095809942705017
37,Nautilus 47,10942,0.007915677990624457
38,Aerospray MG,10793,0.007807888187973841
39,REEF-LUX 450,10339,0.007479454829561896
40,Dapple Dualies,10311,0.007459199027721511
41,Dynamo Roller,10107,0.007311621042884426
42,Ballpoint Splatling,8546,0.006182360090283003
43,Blaster,8332,0.0060275478905029226
44,Luna Blaster Neo,7857,0.005683922680710689
45,Splatterscope,7784,0.00563111291162683
46,Splattershot Nova,7714,0.0055804734070258695
47,Zink Mini Splatling,7293,0.005275912957925806
48,Jet Squelcher,6976,0.005046588344232884
49,Inkbrush Nouveau,6767,0.004895393251924301
50,Rapid Blaster,6706,0.004851264540772036
51,.96 Gal,6304,0.004560449100063661
52,Slosher,6165,0.004459893512356039
53,Big Swig Roller,5853,0.0042341860061346145
54,Luna Blaster,5039,0.0036453209097748714
55,Undercover Brella,4271,0.0030897332021529024
56,Splattershot Pro,4253,0.0030767116152555125
57,Tenta Brella,4119,0.002979773135019388
58,Bamboozler 14 Mk I,3977,0.0028770472828288673
59,L-3 Nozzlenose,3281,0.002373545922796458
60,Carbon Roller,3272,0.0023670351293477634
61,Goo Tuber,3268,0.0023641414433705652
62,Snipewriter 5H,3187,0.0023055443023323107
63,Rapid Blaster Pro,2718,0.0019662596215058743
64,Splat Brella,2655,0.0019206840673650096
65,Mini Splatling,2408,0.0017419989582730482
66,Slosher Deco,2408,0.0017419989582730482
67,H-3 Nozzlenose,2377,0.0017195728919497655
