,Weapon,count
0,.96 Gal Deco,0.06391333291726477
1,N-ZAP '89,0.05572978426844744
2,Tentatek Splattershot,0.052406436580748506
3,Neo Splash-o-matic,0.042262164804759826
4,Krak-On Splat Roller,0.03800266283883584
5,Splash-o-matic,0.0346169048659219
6,Splattershot Jr.,0.03021697975826416
7,E-liter 4K,0.029829515904221015
8,Custom Splattershot Jr.,0.02972549876219601
9,Custom Jet Squelcher,0.025692234080176412
10,Splattershot,0.022951382387817514
11,.52 Gal,0.022660134390147496
12,Tri-Slosher Nouveau,0.02113888368803179
13,Rapid Blaster Deco,0.020145519981692984
14,Sloshing Machine,0.019794462127358588
15,Heavy Splatling,0.01940959870186607
16,Hydra Splatling,0.019227568703322307
17,Aerospray RG,0.018533254280305396
18,Splatana Stamper,0.01748528157440346
19,Bloblobber,0.01735265971832158
20,Dualie Squelchers,0.016476315296760906
21,Tri-Stringer,0.015464748590567725
22,Forge Splattershot Pro,0.014551998169298301
23,Inkbrush,0.014421976741767043
24,Splat Roller,0.01419313902931203
25,Z+F Splat Charger,0.01389408974599014
26,Flingza Roller,0.013803074746718259
27,Range Blaster,0.013197174894422601
28,Neo Sploosh-o-matic,0.013137365037758222
29,Dark Tetra Dualies,0.012947533753562586
30,Dapple Dualies Nouveau,0.012274022758950676
31,Nautilus 47,0.012060787617799414
32,Clash Blaster Neo,0.011795543905635648
33,Z+F Splatterscope,0.010159874347292434
34,Sploosh-o-matic,0.010063658490919303
35,N-ZAP '85,0.009790613493103664
36,L-3 Nozzlenose D,0.009611183923110528
37,Splatana Wiper,0.009587780066154902
38,Explosher,0.009457758638623645
39,Carbon Roller Deco,0.009135305498346128
40,Classic Squiffer,0.008526805217499845
41,Hero Shot Replica,0.008162745220412325
42,Octobrush,0.007900101936799185
43,Clash Blaster,0.007161580228421644
44,Dynamo Roller,0.007070565229149764
45,Glooga Dualies,0.006932742515966631
46,E-liter 4K Scope,0.006698703946410369
47,Dapple Dualies,0.006568682518879111
48,Splat Dualies,0.006217624664544717
49,Squeezer,0.005700139382970313
50,Tri-Slosher,0.0055935218123946825
51,Ballpoint Splatling,0.005050032245314028
52,Blaster,0.004787388961700888
53,Splat Charger,0.00463136324866338
54,REEF-LUX 450,0.004347916536645239
55,Aerospray MG,0.004306309679835237
56,Slosher,0.004251700680272109
57,Splattershot Nova,0.0033545528303064345
58,Inkbrush Nouveau,0.003333749401901433
59,Big Swig Roller,0.0032661382595851798
60,Splatterscope,0.003125715117851422
61,Luna Blaster,0.0030034949759720404
62,Tenta Brella,0.002967088976263288
63,Rapid Blaster,0.0028110632632257796
64,Luna Blaster Neo,0.002779858120618278
65,Bamboozler 14 Mk I,0.002764255549314527
66,Jet Squelcher,0.002376791695271381
67,Undercover Brella,0.002348186981214504
68,Goo Tuber,0.0021505544113669933
69,Splattershot Pro,0.002072541554848239
70,Zink Mini Splatling,0.0020439368407913624
71,.96 Gal,0.0017110819863113442
72,Splat Brella,0.0014640412740019556
73,Mini Splatling,0.001326218560818823
74,H-3 Nozzlenose,0.0013054151324138218
75,Carbon Roller,0.0011883958476356904
76,L-3 Nozzlenose,0.0010453722773513074
77,Rapid Blaster Pro,0.001037570991699432
78,Slosher Deco,0.0007801285651875429
79,Snipewriter 5H,0.0007177182799725395
